Well,Omit,Sample,Target,Dye,Task,Cq,Quantity,plate_id,well_id,is_primary_value,is_dilution,inhibition_testing,LoD_testing,note,inhib_dCt2,,,,,,,,,,
C6,FALSE,5x_E_INF_090820_4,N1 Twist man,FAM,Unknown,36.98020306,8.652287205,101,101_C6,N,Y,N,,,,,,,,,,,,,
G6,FALSE,5x_C_S68_071420_1,N1 Twist man,FAM,Unknown,35.8358404,8.797858635,96,96_G6,N,Y,N,,,,,,,,,,,,,
B5,FALSE,2x_E_INF_090820_4,N1 Twist man,FAM,Unknown,36.95198347,8.813780495,101,101_B5,N,Y,N,,,,,,,,,,,,,
H12,FALSE,10x_C_ADA_090920_4,N1 Twist man,FAM,Unknown,36.0560837,9.019830454,100,100_H12,N,Y,N,,,,,,,,,,,,,
H5,FALSE,10x_C_S68_060220_1,N1 Twist man,FAM,Unknown,36.04660825,9.076935352,100,100_H5,N,N,N,,,,,,,,,,,,,
C6,FALSE,5x_C_N49_081120_4,N1 Twist man,FAM,Unknown,35.77420099,9.173048402,96,96_C6,N,Y,N,,,,,,,,,,,,,
H6,FALSE,10x_C_S68_071420_1,N1 Twist man,FAM,Unknown,35.73643325,9.410797323,96,96_H6,N,Y,N,,,,,,,,,,,,,
G6,FALSE,5x_C_S68_060220_1,N1 Twist man,FAM,Unknown,35.9430035,9.725410194,100,100_G6,N,N,N,,,,,,,,,,,,,
F12,FALSE,2x_C_ADA_090920_4,N1 Twist man,FAM,Unknown,35.94089872,9.739053622,100,100_F12,N,Y,N,,,,,,,,,,,,,
B1,FALSE,10,N1 IVT man,FAM,Standard,34.719437,10,78,78_B1,N,N,N,,,,,,,,,,,,,
B1,FALSE,10,Xeno IPC man,VIC,Standard,31.650816,10,78,78_B1,N,N,N,,,,,,,,,,,,,
B2,FALSE,10,N1 IVT man,FAM,Standard,34.291847,10,78,78_B2,N,N,N,,,,,,,,,,,,,
B2,FALSE,10,Xeno IPC man,VIC,Standard,31.489191,10,78,78_B2,N,N,N,,,,,,,,,,,,,
B3,FALSE,10,N1 IVT man,FAM,Standard,35.96634,10,78,78_B3,N,N,N,,,,,,,,,,,,,
B3,FALSE,10,Xeno IPC man,VIC,Standard,31.599316,10,78,78_B3,N,N,N,,,,,,,,,,,,,
B1,FALSE,5,Xeno IPC man,VIC,Standard,30.28646,10,80,80_B1,N,N,N,,,,,,,,,,,,,
B1,FALSE,5,N1 IVT man,FAM,Standard,Undetermined,10,80,80_B1,N,N,N,,,,,,,,,,,,,
B2,FALSE,5,Xeno IPC man,VIC,Standard,30.610685,10,80,80_B2,N,N,N,,,,,,,,,,,,,
B2,FALSE,5,N1 IVT man,FAM,Standard,Undetermined,10,80,80_B2,N,N,N,,,,,,,,,,,,,
B3,FALSE,5,Xeno IPC man,VIC,Standard,30.517778,10,80,80_B3,N,N,N,,,,,,,,,,,,,
B3,FALSE,5,N1 IVT man,FAM,Standard,36.632282,10,80,80_B3,N,N,N,,,,,,,,,,,,,
C1,FALSE,10,Xeno IPC man,VIC,Standard,30.730055,10,80,80_C1,N,N,N,,,,,,,,,,,,,
C1,FALSE,10,N1 IVT man,FAM,Standard,34.77039,10,80,80_C1,N,N,N,,,,,,,,,,,,,
C2,FALSE,10,Xeno IPC man,VIC,Standard,30.554499,10,80,80_C2,N,N,N,,,,,,,,,,,,,
C2,FALSE,10,N1 IVT man,FAM,Standard,35.283245,10,80,80_C2,N,N,N,,,,,,,,,,,,,
C3,FALSE,10,Xeno IPC man,VIC,Standard,30.517984,10,80,80_C3,N,N,N,,,,,,,,,,,,,
